
	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### HTandRX's Agent 	#  4031.58 	###

	### 67           	#  3693.25 	###

	### brawl_stars  	#  3427.48 	###

	### jet2holiday  	#  3137.73 	###

	### qwer         	#  2350.93 	###

	### GigaBot      	#  2094.62 	###

	### sudo         	#  1656.80 	###

	### RandomBot67  	#  1524.65 	###

	### 67 Random Search v2 	#   894.67 	###

	### Tier 3 Agent 	#   691.35 	###

	### TA - Dust II B Anchor (Tier 2) 	#   121.14 	###

	###              	#   110.67 	###

	### NikhilxCamilo 	#     0.00 	###

	### TA - Tier 1 Agent 	# -1040.61 	###

	### orange       	# -2025.36 	###

	###########################################


	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### GigaBot      	#  3588.31 	###

	### sudo         	#  2788.61 	###

	### 67 Random Search v2 	#  2733.21 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2383.94 	###

	### brawl_stars  	#  1905.52 	###

	### RandomBot67  	#  1315.97 	###

	### 67           	#  1253.97 	###

	### qwer         	#   952.85 	###

	###              	#   784.98 	###

	### orange       	#   771.38 	###

	### HTandRX's Agent 	#   768.76 	###

	### NikhilxCamilo 	#   212.73 	###

	### jet2holiday  	#   116.06 	###

	### Tier 3 Agent 	#    -7.57 	###

	### TA - Tier 1 Agent 	#  -377.38 	###

	###########################################

	@@@ WINNER: GigaBot @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### HTandRX's Agent 	#  4913.52 	###

	### brawl_stars  	#  3304.89 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2837.64 	###

	###              	#  2363.95 	###

	### NikhilxCamilo 	#  2273.21 	###

	### RandomBot67  	#  1933.10 	###

	### Tier 3 Agent 	#  1601.72 	###

	### qwer         	#  1408.11 	###

	### 67 Random Search v2 	#  1185.84 	###

	### sudo         	#  1028.07 	###

	### jet2holiday  	#   778.98 	###

	### 67           	#    59.10 	###

	### orange       	#    43.82 	###

	### GigaBot      	#   -41.08 	###

	### TA - Tier 1 Agent 	#  -759.23 	###

	###########################################

	@@@ WINNER: HTandRX's Agent @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### TA - Dust II B Anchor (Tier 2) 	#  3954.06 	###

	### HTandRX's Agent 	#  3415.43 	###

	### sudo         	#  2796.21 	###

	### qwer         	#  2332.28 	###

	### jet2holiday  	#  2076.91 	###

	### GigaBot      	#  1867.32 	###

	###              	#  1418.33 	###

	### RandomBot67  	#  1335.27 	###

	### 67           	#  1074.09 	###

	### brawl_stars  	#   242.12 	###

	### NikhilxCamilo 	#    59.68 	###

	### Tier 3 Agent 	#    13.32 	###

	### 67 Random Search v2 	#     0.00 	###

	### orange       	#  -632.22 	###

	### TA - Tier 1 Agent 	#  -634.04 	###

	###########################################

	@@@ WINNER: TA - Dust II B Anchor (Tier 2) @@@
Error getting ad bids from agent NikhilxCamilo: 

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### TA - Dust II B Anchor (Tier 2) 	#  4363.96 	###

	### 67 Random Search v2 	#  4294.85 	###

	### sudo         	#  3230.21 	###

	### GigaBot      	#  3094.68 	###

	### HTandRX's Agent 	#  2749.65 	###

	### 67           	#  2611.88 	###

	### brawl_stars  	#  2291.14 	###

	### RandomBot67  	#  1458.22 	###

	### jet2holiday  	#  1142.56 	###

	### TA - Tier 1 Agent 	#   874.12 	###

	### NikhilxCamilo 	#   611.15 	###

	### qwer         	#   587.10 	###

	### orange       	#   427.84 	###

	###              	#    60.28 	###

	### Tier 3 Agent 	#    -2.92 	###

	###########################################

	@@@ WINNER: TA - Dust II B Anchor (Tier 2) @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### 67           	#  4274.22 	###

	### HTandRX's Agent 	#  2961.61 	###

	### RandomBot67  	#  2825.02 	###

	### GigaBot      	#  1971.32 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1944.11 	###

	### brawl_stars  	#  1828.66 	###

	### sudo         	#  1464.38 	###

	### qwer         	#  1042.10 	###

	### 67 Random Search v2 	#   465.64 	###

	### jet2holiday  	#   283.50 	###

	### Tier 3 Agent 	#   137.30 	###

	### NikhilxCamilo 	#     4.69 	###

	###              	#   -59.82 	###

	### orange       	#  -896.67 	###

	### TA - Tier 1 Agent 	# -1892.00 	###

	###########################################

	@@@ WINNER: 67 @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### RandomBot67  	#  6480.37 	###

	### orange       	#  4256.46 	###

	### qwer         	#  3465.47 	###

	### 67 Random Search v2 	#  2660.84 	###

	### 67           	#  2627.04 	###

	### GigaBot      	#  2080.85 	###

	### brawl_stars  	#  1869.67 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1800.39 	###

	### sudo         	#  1696.82 	###

	### HTandRX's Agent 	#  1529.86 	###

	###              	#  1071.15 	###

	### jet2holiday  	#    20.45 	###

	### Tier 3 Agent 	#   -12.92 	###

	### NikhilxCamilo 	#   -34.13 	###

	### TA - Tier 1 Agent 	#   -76.66 	###

	###########################################

	@@@ WINNER: RandomBot67 @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### 67           	#  5658.21 	###

	### TA - Dust II B Anchor (Tier 2) 	#  4267.79 	###

	### RandomBot67  	#  3205.70 	###

	### qwer         	#  2574.01 	###

	###              	#  1998.36 	###

	### sudo         	#  1794.44 	###

	### HTandRX's Agent 	#  1491.67 	###

	### GigaBot      	#   901.36 	###

	### jet2holiday  	#   686.36 	###

	### NikhilxCamilo 	#    51.70 	###

	### 67 Random Search v2 	#     0.00 	###

	### Tier 3 Agent 	#   -10.39 	###

	### brawl_stars  	#  -406.98 	###

	### TA - Tier 1 Agent 	#  -424.11 	###

	### orange       	#  -724.85 	###

	###########################################

	@@@ WINNER: 67 @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	###              	#  4400.73 	###

	### GigaBot      	#  3233.06 	###

	### qwer         	#  2996.21 	###

	### HTandRX's Agent 	#  2875.00 	###

	### TA - Tier 1 Agent 	#  1735.24 	###

	### RandomBot67  	#  1708.05 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1338.55 	###

	### 67           	#   924.72 	###

	### 67 Random Search v2 	#   887.75 	###

	### orange       	#   716.53 	###

	### NikhilxCamilo 	#   690.80 	###

	### jet2holiday  	#   380.33 	###

	### sudo         	#   304.46 	###

	### Tier 3 Agent 	#    -6.34 	###

	### brawl_stars  	#  -529.20 	###

	###########################################

	@@@ WINNER:   @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### sudo         	#  4873.89 	###

	###              	#  4551.65 	###

	### qwer         	#  3343.36 	###

	### 67           	#  3097.66 	###

	### HTandRX's Agent 	#  2689.73 	###

	### RandomBot67  	#  2300.11 	###

	### orange       	#  2052.30 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1993.95 	###

	### brawl_stars  	#  1171.98 	###

	### GigaBot      	#   843.59 	###

	### Tier 3 Agent 	#   -12.08 	###

	### 67 Random Search v2 	#   -13.06 	###

	### NikhilxCamilo 	#  -184.91 	###

	### jet2holiday  	#  -708.11 	###

	### TA - Tier 1 Agent 	# -2098.03 	###

	###########################################

	@@@ WINNER: sudo @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### sudo         	#  2350.21 	###

	### 67           	#  2118.29 	###

	### brawl_stars  	#  1949.71 	###

	### GigaBot      	#  1723.97 	###

	### 67 Random Search v2 	#  1691.17 	###

	### jet2holiday  	#  1635.50 	###

	### qwer         	#  1615.40 	###

	### RandomBot67  	#  1587.74 	###

	###              	#   866.42 	###

	### NikhilxCamilo 	#   362.78 	###

	### orange       	#   112.15 	###

	### Tier 3 Agent 	#    69.34 	###

	### HTandRX's Agent 	#     0.00 	###

	### TA - Dust II B Anchor (Tier 2) 	#  -126.46 	###

	### TA - Tier 1 Agent 	# -1424.32 	###

	###########################################

	@@@ WINNER: sudo @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### 67           	#  5988.13 	###

	### sudo         	#  3992.57 	###

	### qwer         	#  3431.28 	###

	### jet2holiday  	#  2583.39 	###

	### brawl_stars  	#  2580.78 	###

	###              	#  1483.90 	###

	### HTandRX's Agent 	#  1357.20 	###

	### GigaBot      	#   952.13 	###

	### RandomBot67  	#   762.14 	###

	### NikhilxCamilo 	#   589.95 	###

	### 67 Random Search v2 	#   484.59 	###

	### TA - Dust II B Anchor (Tier 2) 	#   400.52 	###

	### Tier 3 Agent 	#   -10.75 	###

	### orange       	#  -863.84 	###

	### TA - Tier 1 Agent 	# -1135.18 	###

	###########################################

	@@@ WINNER: 67 @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### 67 Random Search v2 	#  3138.83 	###

	###              	#  2820.50 	###

	### GigaBot      	#  2630.95 	###

	### qwer         	#  1987.81 	###

	### 67           	#  1943.40 	###

	### brawl_stars  	#  1832.56 	###

	### sudo         	#  1594.38 	###

	### NikhilxCamilo 	#  1541.47 	###

	### RandomBot67  	#   937.21 	###

	### HTandRX's Agent 	#   469.38 	###

	### jet2holiday  	#   288.74 	###

	### TA - Dust II B Anchor (Tier 2) 	#   230.76 	###

	### Tier 3 Agent 	#    -5.71 	###

	### orange       	#  -967.28 	###

	### TA - Tier 1 Agent 	# -1128.13 	###

	###########################################

	@@@ WINNER: 67 Random Search v2 @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### orange       	#  6033.68 	###

	### qwer         	#  4252.09 	###

	### RandomBot67  	#  3602.94 	###

	### jet2holiday  	#  3537.58 	###

	### 67 Random Search v2 	#  2652.14 	###

	###              	#  2032.73 	###

	### sudo         	#  1246.49 	###

	### HTandRX's Agent 	#   928.99 	###

	### TA - Dust II B Anchor (Tier 2) 	#   838.39 	###

	### brawl_stars  	#   702.11 	###

	### 67           	#   506.74 	###

	### NikhilxCamilo 	#     3.08 	###

	### Tier 3 Agent 	#    -1.82 	###

	### GigaBot      	#   -36.65 	###

	### TA - Tier 1 Agent 	#  -842.83 	###

	###########################################

	@@@ WINNER: orange @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### NikhilxCamilo 	#  4096.01 	###

	### brawl_stars  	#  3316.98 	###

	### sudo         	#  2438.75 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1696.03 	###

	### qwer         	#  1480.56 	###

	### GigaBot      	#  1293.17 	###

	###              	#  1148.18 	###

	### HTandRX's Agent 	#  1075.55 	###

	### RandomBot67  	#   904.00 	###

	### 67 Random Search v2 	#   729.99 	###

	### jet2holiday  	#   435.66 	###

	### 67           	#    57.71 	###

	### Tier 3 Agent 	#   -12.85 	###

	### TA - Tier 1 Agent 	#  -409.13 	###

	### orange       	# -1651.01 	###

	###########################################

	@@@ WINNER: NikhilxCamilo @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### HTandRX's Agent 	#  4030.64 	###

	### brawl_stars  	#  3832.68 	###

	### sudo         	#  3785.36 	###

	### NikhilxCamilo 	#  2827.25 	###

	### 67           	#  2393.34 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2368.26 	###

	### 67 Random Search v2 	#  2262.73 	###

	### GigaBot      	#  1363.70 	###

	### jet2holiday  	#   654.43 	###

	###              	#   478.57 	###

	### RandomBot67  	#   261.87 	###

	### Tier 3 Agent 	#    -4.89 	###

	### TA - Tier 1 Agent 	#  -302.98 	###

	### qwer         	#  -623.63 	###

	### orange       	#  -839.30 	###

	###########################################

	@@@ WINNER: HTandRX's Agent @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### jet2holiday  	#  3587.91 	###

	### brawl_stars  	#  3086.71 	###

	### qwer         	#  2850.70 	###

	### GigaBot      	#  2432.10 	###

	### NikhilxCamilo 	#  2394.80 	###

	### sudo         	#  2350.04 	###

	### orange       	#  1902.41 	###

	### 67           	#  1835.65 	###

	### RandomBot67  	#  1498.16 	###

	###              	#  1054.05 	###

	### TA - Dust II B Anchor (Tier 2) 	#   751.60 	###

	### HTandRX's Agent 	#   449.17 	###

	### 67 Random Search v2 	#     0.75 	###

	### Tier 3 Agent 	#    -5.03 	###

	### TA - Tier 1 Agent 	# -1008.13 	###

	###########################################

	@@@ WINNER: jet2holiday @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### jet2holiday  	#  3935.51 	###

	### sudo         	#  2274.84 	###

	### orange       	#  2207.66 	###

	### RandomBot67  	#  2039.92 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1985.77 	###

	### 67           	#  1818.21 	###

	### 67 Random Search v2 	#  1519.99 	###

	###              	#  1437.34 	###

	### qwer         	#  1427.12 	###

	### brawl_stars  	#   824.25 	###

	### Tier 3 Agent 	#   716.93 	###

	### GigaBot      	#   567.95 	###

	### HTandRX's Agent 	#   151.51 	###

	### NikhilxCamilo 	#   131.20 	###

	### TA - Tier 1 Agent 	# -1976.71 	###

	###########################################

	@@@ WINNER: jet2holiday @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### TA - Dust II B Anchor (Tier 2) 	#  4821.04 	###

	### GigaBot      	#  2772.90 	###

	###              	#  2554.51 	###

	### jet2holiday  	#  2231.39 	###

	### brawl_stars  	#  1644.79 	###

	### qwer         	#  1009.18 	###

	### 67           	#  1002.54 	###

	### NikhilxCamilo 	#   869.93 	###

	### orange       	#   780.13 	###

	### sudo         	#   778.19 	###

	### HTandRX's Agent 	#   585.03 	###

	### RandomBot67  	#   430.37 	###

	### 67 Random Search v2 	#   297.27 	###

	### Tier 3 Agent 	#    -5.08 	###

	### TA - Tier 1 Agent 	#  -617.60 	###

	###########################################

	@@@ WINNER: TA - Dust II B Anchor (Tier 2) @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### TA - Dust II B Anchor (Tier 2) 	#  3402.81 	###

	###              	#  3063.70 	###

	### 67 Random Search v2 	#  2498.94 	###

	### GigaBot      	#  2486.42 	###

	### brawl_stars  	#  1844.17 	###

	### 67           	#   816.44 	###

	### RandomBot67  	#   511.73 	###

	### qwer         	#   381.04 	###

	### orange       	#   330.62 	###

	### sudo         	#   294.46 	###

	### HTandRX's Agent 	#    88.24 	###

	### jet2holiday  	#     0.00 	###

	### Tier 3 Agent 	#    -2.59 	###

	### NikhilxCamilo 	#    -6.87 	###

	### TA - Tier 1 Agent 	#  -146.20 	###

	###########################################

	@@@ WINNER: TA - Dust II B Anchor (Tier 2) @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### TA - Dust II B Anchor (Tier 2) 	#  4540.16 	###

	### sudo         	#  4209.43 	###

	### GigaBot      	#  3972.67 	###

	### brawl_stars  	#  2744.71 	###

	### HTandRX's Agent 	#  1662.82 	###

	### RandomBot67  	#  1322.49 	###

	### 67 Random Search v2 	#  1214.57 	###

	### orange       	#   810.86 	###

	###              	#   685.57 	###

	### 67           	#    22.23 	###

	### Tier 3 Agent 	#    -4.87 	###

	### NikhilxCamilo 	#   -23.16 	###

	### qwer         	#  -146.51 	###

	### jet2holiday  	#  -425.78 	###

	### TA - Tier 1 Agent 	# -1114.61 	###

	###########################################

	@@@ WINNER: TA - Dust II B Anchor (Tier 2) @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### qwer         	#  5440.70 	###

	### TA - Dust II B Anchor (Tier 2) 	#  3064.12 	###

	### sudo         	#  1854.70 	###

	### 67 Random Search v2 	#  1815.84 	###

	### GigaBot      	#  1807.11 	###

	### jet2holiday  	#  1584.51 	###

	### NikhilxCamilo 	#  1149.96 	###

	###              	#  1070.92 	###

	### 67           	#   764.15 	###

	### RandomBot67  	#   474.96 	###

	### HTandRX's Agent 	#   330.29 	###

	### brawl_stars  	#   271.33 	###

	### Tier 3 Agent 	#    -5.84 	###

	### orange       	#  -265.16 	###

	### TA - Tier 1 Agent 	#  -587.84 	###

	###########################################

	@@@ WINNER: qwer @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### HTandRX's Agent 	#  6025.18 	###

	### brawl_stars  	#  2695.27 	###

	### RandomBot67  	#  2469.78 	###

	### 67 Random Search v2 	#  2133.72 	###

	###              	#  1748.40 	###

	### sudo         	#  1587.01 	###

	### qwer         	#  1506.20 	###

	### GigaBot      	#  1406.17 	###

	### NikhilxCamilo 	#   810.30 	###

	### jet2holiday  	#   717.91 	###

	### 67           	#   448.32 	###

	### Tier 3 Agent 	#   297.71 	###

	### TA - Dust II B Anchor (Tier 2) 	#   -56.23 	###

	### orange       	#  -637.26 	###

	### TA - Tier 1 Agent 	#  -746.13 	###

	###########################################

	@@@ WINNER: HTandRX's Agent @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### brawl_stars  	#  3167.63 	###

	### RandomBot67  	#  2422.04 	###

	###              	#  2027.97 	###

	### 67           	#  1416.57 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1033.09 	###

	### qwer         	#  1026.05 	###

	### 67 Random Search v2 	#   935.73 	###

	### TA - Tier 1 Agent 	#   912.74 	###

	### jet2holiday  	#   765.63 	###

	### GigaBot      	#   738.23 	###

	### Tier 3 Agent 	#   720.88 	###

	### sudo         	#   184.10 	###

	### HTandRX's Agent 	#  -113.91 	###

	### NikhilxCamilo 	#  -124.13 	###

	### orange       	# -1018.43 	###

	###########################################

	@@@ WINNER: brawl_stars @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### jet2holiday  	#  3271.11 	###

	### sudo         	#  2985.31 	###

	### brawl_stars  	#  2669.23 	###

	###              	#  2007.56 	###

	### GigaBot      	#  1955.97 	###

	### HTandRX's Agent 	#  1935.84 	###

	### orange       	#  1591.17 	###

	### 67           	#  1417.71 	###

	### RandomBot67  	#  1371.77 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1209.26 	###

	### 67 Random Search v2 	#   381.85 	###

	### qwer         	#   204.93 	###

	### TA - Tier 1 Agent 	#    51.02 	###

	### Tier 3 Agent 	#    -4.42 	###

	### NikhilxCamilo 	#   -49.02 	###

	###########################################

	@@@ WINNER: jet2holiday @@@
Error getting ad bids from agent NikhilxCamilo: 

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### GigaBot      	#  4563.48 	###

	### orange       	#  2417.73 	###

	### 67           	#  2168.17 	###

	###              	#  2005.13 	###

	### sudo         	#  1960.50 	###

	### NikhilxCamilo 	#  1884.51 	###

	### brawl_stars  	#  1462.69 	###

	### jet2holiday  	#  1292.64 	###

	### TA - Dust II B Anchor (Tier 2) 	#   941.20 	###

	### HTandRX's Agent 	#   614.99 	###

	### RandomBot67  	#   607.99 	###

	### 67 Random Search v2 	#     0.00 	###

	### Tier 3 Agent 	#    -8.35 	###

	### qwer         	#  -146.79 	###

	### TA - Tier 1 Agent 	# -1003.98 	###

	###########################################

	@@@ WINNER: GigaBot @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### RandomBot67  	#  3154.96 	###

	### TA - Dust II B Anchor (Tier 2) 	#  3047.90 	###

	### brawl_stars  	#  2433.94 	###

	### 67 Random Search v2 	#  2141.85 	###

	### qwer         	#  1641.98 	###

	### GigaBot      	#  1064.03 	###

	### sudo         	#   962.56 	###

	### TA - Tier 1 Agent 	#   636.44 	###

	###              	#   273.47 	###

	### 67           	#   171.04 	###

	### HTandRX's Agent 	#    85.69 	###

	### jet2holiday  	#    51.43 	###

	### NikhilxCamilo 	#     6.70 	###

	### Tier 3 Agent 	#    -1.30 	###

	### orange       	#  -336.97 	###

	###########################################

	@@@ WINNER: RandomBot67 @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### RandomBot67  	#  4140.09 	###

	### 67           	#  3700.91 	###

	### qwer         	#  3235.82 	###

	### sudo         	#  2088.01 	###

	### HTandRX's Agent 	#  1869.31 	###

	### NikhilxCamilo 	#  1809.94 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1528.33 	###

	### GigaBot      	#  1442.11 	###

	###              	#   529.43 	###

	### 67 Random Search v2 	#   342.33 	###

	### orange       	#   317.89 	###

	### jet2holiday  	#   265.70 	###

	### TA - Tier 1 Agent 	#   109.99 	###

	### Tier 3 Agent 	#   -15.79 	###

	### brawl_stars  	#  -225.71 	###

	###########################################

	@@@ WINNER: RandomBot67 @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### sudo         	#  4794.33 	###

	### brawl_stars  	#  4214.77 	###

	### 67 Random Search v2 	#  2921.40 	###

	### qwer         	#  2871.66 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2742.31 	###

	### TA - Tier 1 Agent 	#  1666.17 	###

	### 67           	#  1660.40 	###

	###              	#  1515.93 	###

	### orange       	#  1316.91 	###

	### GigaBot      	#  1052.17 	###

	### RandomBot67  	#   193.07 	###

	### HTandRX's Agent 	#   192.46 	###

	### Tier 3 Agent 	#    -3.71 	###

	### NikhilxCamilo 	#   -14.45 	###

	### jet2holiday  	#  -158.92 	###

	###########################################

	@@@ WINNER: sudo @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### RandomBot67  	#  2999.93 	###

	### TA - Tier 1 Agent 	#  2967.22 	###

	### HTandRX's Agent 	#  2627.56 	###

	### sudo         	#  2242.25 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2123.15 	###

	### jet2holiday  	#  2074.02 	###

	###              	#  2043.41 	###

	### orange       	#  1863.99 	###

	### GigaBot      	#   969.34 	###

	### 67 Random Search v2 	#   544.71 	###

	### NikhilxCamilo 	#   536.86 	###

	### qwer         	#   315.80 	###

	### brawl_stars  	#    39.62 	###

	### 67           	#     0.00 	###

	### Tier 3 Agent 	#    -6.57 	###

	###########################################

	@@@ WINNER: RandomBot67 @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	###              	#  6010.41 	###

	### brawl_stars  	#  2053.06 	###

	### RandomBot67  	#  1893.12 	###

	### sudo         	#  1775.24 	###

	### GigaBot      	#  1687.99 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1348.55 	###

	### orange       	#  1240.77 	###

	### jet2holiday  	#  1041.24 	###

	### qwer         	#   469.31 	###

	### HTandRX's Agent 	#    70.91 	###

	### 67           	#     0.00 	###

	### 67 Random Search v2 	#     0.00 	###

	### Tier 3 Agent 	#    -6.22 	###

	### NikhilxCamilo 	#   -10.81 	###

	### TA - Tier 1 Agent 	# -1613.40 	###

	###########################################

	@@@ WINNER:   @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	###              	#  2355.58 	###

	### jet2holiday  	#  2065.70 	###

	### qwer         	#  1809.09 	###

	### 67           	#  1790.25 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1522.44 	###

	### GigaBot      	#  1477.55 	###

	### NikhilxCamilo 	#  1381.40 	###

	### 67 Random Search v2 	#  1158.16 	###

	### sudo         	#   924.96 	###

	### RandomBot67  	#   499.00 	###

	### Tier 3 Agent 	#   302.92 	###

	### brawl_stars  	#   224.31 	###

	### HTandRX's Agent 	#  -124.85 	###

	### TA - Tier 1 Agent 	#  -525.31 	###

	### orange       	# -1821.20 	###

	###########################################

	@@@ WINNER:   @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### brawl_stars  	#  3118.07 	###

	### TA - Dust II B Anchor (Tier 2) 	#  2729.09 	###

	### 67           	#  2394.24 	###

	### sudo         	#  2161.23 	###

	### GigaBot      	#  1562.24 	###

	### 67 Random Search v2 	#  1016.65 	###

	### orange       	#   853.82 	###

	### qwer         	#   720.25 	###

	###              	#   670.80 	###

	### RandomBot67  	#   632.56 	###

	### TA - Tier 1 Agent 	#   108.64 	###

	### jet2holiday  	#     0.10 	###

	### Tier 3 Agent 	#    -4.64 	###

	### NikhilxCamilo 	#  -239.84 	###

	### HTandRX's Agent 	#  -280.92 	###

	###########################################

	@@@ WINNER: brawl_stars @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### RandomBot67  	#  5449.26 	###

	### TA - Dust II B Anchor (Tier 2) 	#  3468.69 	###

	###              	#  2377.60 	###

	### 67           	#  1905.23 	###

	### GigaBot      	#  1606.74 	###

	### sudo         	#  1594.92 	###

	### jet2holiday  	#  1476.99 	###

	### 67 Random Search v2 	#  1466.61 	###

	### NikhilxCamilo 	#  1342.46 	###

	### brawl_stars  	#  1112.43 	###

	### TA - Tier 1 Agent 	#   829.04 	###

	### HTandRX's Agent 	#   673.73 	###

	### qwer         	#   507.84 	###

	### Tier 3 Agent 	#    -0.33 	###

	### orange       	#  -951.27 	###

	###########################################

	@@@ WINNER: RandomBot67 @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### 67           	#  3848.76 	###

	### sudo         	#  3491.44 	###

	### qwer         	#  2111.97 	###

	### jet2holiday  	#  1955.26 	###

	### HTandRX's Agent 	#  1952.73 	###

	###              	#  1326.77 	###

	### RandomBot67  	#  1229.95 	###

	### 67 Random Search v2 	#   878.80 	###

	### TA - Dust II B Anchor (Tier 2) 	#   784.15 	###

	### brawl_stars  	#   755.72 	###

	### NikhilxCamilo 	#    48.13 	###

	### Tier 3 Agent 	#     4.87 	###

	### GigaBot      	#  -584.92 	###

	### TA - Tier 1 Agent 	#  -895.76 	###

	### orange       	# -1362.65 	###

	###########################################

	@@@ WINNER: 67 @@@

	################# SIMULATION RESULTS ##################

	#### Agent 		# Profit 	###

	###########################################

	### RandomBot67  	#  4888.43 	###

	###              	#  2953.60 	###

	### HTandRX's Agent 	#  2934.33 	###

	### NikhilxCamilo 	#  2736.27 	###

	### 67           	#  1754.29 	###

	### GigaBot      	#  1514.27 	###

	### sudo         	#  1303.42 	###

	### TA - Dust II B Anchor (Tier 2) 	#  1057.00 	###

	### qwer         	#   963.62 	###

